course_id,university,program_name,program_code,degree_level,course_code,course_name,course_name_original,credits,component,semester,description,prerequisites,assessment,academic_year,source_url,source_language,notes,course_name_en,description_en
11,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Մեծ լեզվային մոդելների կիրառումներ (Large Language Model Applications),,6.0,Professional,2.0,"·ծանոթացնել ուսանողներին մեծ լեզվային մոդելների (LLMs) հիմնական հասկացություններին և կիրառություններին։ ·ուսուցանել գործնական հմտություններ՝ հրահանգների ձևավորման (prompt engineering), LangChain գործիքակազմի օգտագործման և մոդելների հարմարեցման համար։",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Applications of Large Language Models,"- Introduce students to the fundamental concepts and applications of large language models (LLMs). 
- Teach practical skills for prompt engineering, using the LangChain toolkit, and model fine-tuning."
12,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Բաշխված համակարգերը տվյալների ինժիներիայի համար (Distributed Systems for Data Engineering),,3.0,Professional,3.0,"·մեծածավալ տվյալների մշակման համատեքստում ծանոթացնել ուսանողներին բաշխված համակարգերի (distributed systems) հիմնական սկզբունքներին և ճարտարապետությանը։ ·ուսուցանել գործնական հմտություններ տարածված համակարգերի նախագծման, իրագործման և կառավարման համար։",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Distributed Systems for Data Engineering,"- Introduce students to the fundamental principles and architecture of distributed systems in the context of big data processing. 
- Teach practical skills for the design, implementation, and management of distributed systems."
13,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Համակարգչային տեսողություն (Computer vision),,3.0,Professional,3.0,·ծանոթացնել ուսանողներին համակարգչային տեսողության միջոցներով պատկերների ճանաչման մոտեցումներին։ ·զարգացնել ուսանողների մասնագիտական ունակությունները արհեստական բանականության տարաբնույթ խնդիրներում պատկերների ճանաչման մեթոդների կիրառությունների վերաբերյալ։,,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Computer Vision,"- Introduce students to approaches for image recognition using computer vision techniques. 
- Develop students' professional skills regarding the applications of image recognition methods in various artificial intelligence problems."
14,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Ամպային համակարգերի կառավարում և տեղեկատվական անվտանգություն,,3.0,Professional,3.0,"·ներկայացնել ամպային համակարգերի մասին հիմնարար բաշխված հաշվողական «հասկացությունները», ինչպես նաև առավել լայնորեն օգտագործվող ամպային համակարգերի գործունեության սկզբունքները։ ·ներկայացնել ամպային և լոկալ միջավայրում տեղեկատվական անվտանգության հիմնարար գաղափարները և դրանց կիրառման արդյունավետ մեթոդները:",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Cloud Systems Management and Information Security,"- Present the fundamental distributed computing ""concepts"" regarding cloud systems, as well as the principles of operation of the most widely used cloud systems. 
- Present the fundamental ideas of information security in cloud and local environments and their effective application methods."
15,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Գեներատիվ մոդելների կիրառումներ (Generative Model Applications),,3.0,Professional,3.0,"·ծանոթացնել ուսանողներին գեներատիվ մոդելների հիմնական հասկացություններին և կիրառություններին։ ·ուսուցանել գործնական հմտություններ ավտոէնքոդերների, գեներատիվ հակադարձ ցանցերի (GAN), լատենտ և կայուն դիֆուզիոն մոդելների, մեծ լեզվային մոդելների (LLM-ներ) և ChatGPT-ի առաջադեմ հնարավորությունների կիրառման վերաբերյալ։",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Generative Model Applications,"- Introduce students to the fundamental concepts and applications of generative models. 
- Teach practical skills related to the application of autoencoders, generative adversarial networks (GAN), latent and stable diffusion models, large language models (LLMs), and the advanced capabilities of ChatGPT."
16,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Բայեսյան վիճակագրություն,,3.0,Professional,3.0,·զարգացնել ուսանողների մասնագիտական կարողությունները՝ տրամադրելով խորացված ուսուցում բայեսյան վիճակագրության տարատեսակ մեթոդների և մոդելների կիրառման վերաբերյալ: ·ուսանողներին ունակ դարձնել կիրառել բայեսյան վիճակագրության վերլուծության մեթոդները տվյալների գիտության և մեքենայական ուսուցման մեջ:,,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Bayesian Statistics,·Develop students' professional skills by providing in-depth training on various methods and models of Bayesian statistics. ·Enable students to apply the analytical methods of Bayesian statistics in data science and machine learning.
17,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Սպառողի վարքագիծ,,3.0,Professional,3.0,"·սովորեցնել ուսանողներին սոցիալական հոգեբանության տարրերը, դրա ազդեցությանը սպառողների վարքագծի վրա և ընդհանրապես տնտեսական հարաբերությունների վրա, ·սովորեցնել կիրառել մեծ տվյալների և տվյալագիտության մոտեցումները սպառողների վարքը կանխատեսելու համար:",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Consumer Behavior,"- To teach students the elements of social psychology, its impact on consumer behavior, and generally on economic relations, 
- To teach the application of big data and data science approaches for predicting consumer behavior."
18,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Էկոնոմետրիկա և ժամանակային շարքեր տվյալագետների համար,,3.0,Professional,2.0,.զարգացնել ուսանողների մասնագիտական կարողությունները՝ տրամադրելով խորացված ուսուցում ժամանակային շարքերի էկոնոմետրիկայի տարատեսակ մեթոդների և մոդելների կիրառման վերաբերյալ: .ծանոթացնել հաշվարկելու և կանխատեսելու տվյալների գիտության և մեքենայական ուսուցման մեջ կիրառվող ժամանակային շարքերի մոդելները՝ օգտագործելով ժամանակակից վիճակագրական և էկոնոմետրիկ մեթոդներ:,,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Econometrics and Time Series for Data Scientists,"Develop students' professional skills by providing in-depth training on the application of various methods and models of time series econometrics. Familiarize them with the time series models used in data science and machine learning for calculation and forecasting, utilizing modern statistical and econometric methods."
19,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Մեծ տվյալների տեխնոլոգիաներ,,3.0,Professional,2.0,·ուսանողներին ծանոթացնել մեծ տվյալների վերլուծության համար կիրառվող գործիքներին և տեխնոլոգիաներին։ ·սովորեցնել կիրառել այդ տեխնոլոգիաները պրակտիկ խնդիրների լուծման մեջ։,,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Big Data Technologies,"- To familiarize students with the tools and technologies used for big data analysis. 
- To teach the application of these technologies in solving practical problems."
20,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Տեխնոլոգիական ձեռներեցություն,,3.0,Professional,2.0,"·Տեխնոլոգիական ձեռներեցության, նորարության և կառավարման սկզբունքների վերաբերյալ խորացված ուսուցման միջոցով զարգացնել ուսանողների մասնագիտական կարողությունները։ ·Ներկայացնել տեխնոլոգիական ոլորտում նորարարական գործընթացների ներդրման վերաբերյալ աշխարհում կիրառվող ժամանակակից մեխանիզմները և մոդելները։",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Technological Entrepreneurship,"- Develop students' professional competencies through in-depth study of the principles of technological entrepreneurship, innovation, and management. 
- Present modern mechanisms and models used worldwide for the implementation of innovative processes in the technological sector."
21,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Տնտեսագիտություն տվյալագետների համար,,3.0,Professional,2.0,"·առավել ամբողջականացնել և խորացնել ուսանողների գիտելիքները միկրո և մակրոտնտեսագիտության ասպարեզում, ·զարգացնել տնտեսագիտական հետազոտություններում տնտեսագիտա մաթեմատիկական մեթոդների և մոդելների կիրառման հմտություններ:",,Exam,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Economics for Data Scientists,"·to further complete and deepen students' knowledge in the field of micro and macroeconomics, ·to develop skills in the application of mathematical methods and models in economic research."
22,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Մասնագիտական պրակտիկա,,3.0,Other,3.0,"Մասնագիտական պրակտիկայի նպատակն է՝ ·գործնական աշխատանքների միջոցով զարգացնել մասնագիտական հմտությունները և փորձառությունը, մասնագիտական ոլորտում ինքնուրույն աշխատելու կարողությունները ·ստացած տեսական գիտելիքները կիրառել գործնականում, ինչպես նաև ձեռք բերել մասնագիտական հմտություններ, կարողություններ և փորձառություն:",,Attestation,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Professional Practice,"The purpose of the professional practice is to: ·develop professional skills and experience through practical work, as well as the ability to work independently in the professional field ·apply the theoretical knowledge acquired in practice, as well as gain professional skills, abilities, and experience."
23,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Մագիստրոսական թեզ,,18.0,Other,3.0,"Մագիստրոսական թեզն ինքնուրույն հետազոտական, վերլուծական և/կամ կիրառական նշանակության աշխատանք է, որը նպաստում է Որակավորումների ազգային շրջանակի համապատասխան մակարդակի, ինչպես նաև կրթական տվյալ ծրագրով նախատեսված կրթական վերջնարդյունքների ձեռքբերմանը։ Այն արտացոլում է տվյալ մասնագիտական ոլորտում ուսանողի ձեռք բերած գիտելիքները կիրառելու և ինքնուրույն ուսումնասիրություն կատարելու կարողությունները, ինչպես նաև գիտական խնդիրներ բարձրացնելու, նոր լուծումներ առաջադրելու հմտությունները։ Պաշտպանության ընթացքում ուսանողները պետք է ունակ լինեն ներկայացնելու մագիստրոսական թեմայի գիտագործնական առումները: Մագիստրոսական թեզի հրապարակային պաշտպանությունը մագիստրոսի կրթական ծրագրի ավարտական պահանջներից է։",,Defense,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Master's Thesis,"The master's thesis is an independent research, analytical, and/or applied work that contributes to the attainment of the corresponding level of the National Qualifications Framework, as well as the educational outcomes specified by the educational program. It reflects the student's ability to apply the knowledge acquired in the specific professional field and to conduct independent research, as well as the skills to raise scientific questions and propose new solutions. During the defense, students must be able to present the scientific and practical contributions of the master's thesis topic. The public defense of the master's thesis is a graduation requirement of the master's educational program."
24,Yerevan State University,Data Science in Business,031101.19.7,Master,1002,Գիտական սեմինար,,2.0,Other,1.0,"·Քննարկել արհեստական բանականության և տվյալների գիտության ոլորտի նորարարությունները, դրանց հիմքում ընկած մոդելները, կիրառվող ալգորիթմները և ծրագրային լուծումները։ ·Արհեստական բանականության և տվյալների գիտության ոլորտում տեղի ունեցող զարգացումների մասնագիտական քննարկում. Սեմինարը նպատակ ունի ապահովել հարթակ, որտեղ ուսանողները կարող են ծանոթանալ իրենց մասնագիտական ոլորտում տեղի ունեցող վերջին զարգացումներին, նորարարություններին և հետազոտությունների արդյունքներին: Այն հնարավորություն է տալիս ուսանողներին վերլուծել և քննարկել գիտական հոդվածներ, զեկույցներ և այլ ակտուալ նյութեր։ ·Սեմինարը նախատեսված է նաև մագիստրոսական թեզերի պատրաստման ընթացքի հետ կապված հարցերի քննարկման համար, որի ժամանակ ուսանողները հնարավորություն կունենան ներկայացնելու իրենց հետազոտական թեմաները, քննարկելու հետազոտական մեթոդաբանությունները, ստանալ խորհուրդատվություն ինչպես դասախոսներից, այնպես էլ ոլորտի հրավիրյալ առաջատար մասնագետներից։",,Attestation,2025/2026,https://ysu.am/en/faculty/78/educational-program-349/edu-plan,Armenian,,Scientific Seminar,"- Discuss the innovations in the field of artificial intelligence and data science, the underlying models, the algorithms used, and the software solutions. 
- Professional discussion of developments occurring in the field of artificial intelligence and data science. The seminar aims to provide a platform where students can familiarize themselves with the latest developments, innovations, and research results in their professional field. It allows students to analyze and discuss scientific articles, reports, and other relevant materials. 
- The seminar is also intended for discussing issues related to the preparation of master's theses, during which students will have the opportunity to present their research topics, discuss research methodologies, and receive advice from both instructors and invited leading experts in the field."
25,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,1803,Թուրքերեն-2,,2.0,General,2.0,"· սովորեցնել ժամանակակից գրական թուրքերեն, · ձևավորել թուրքերեն տեքստեր վերարատադրելու ունակություններ, · զարգացնել հայերենից թուրքերեն և թուրքերենից հայերեն տեքստեր թարգմանելու հմտությունները:",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,Turkish-2,"- Teach modern literary Turkish,  
- Develop the ability to reproduce Turkish texts,  
- Enhance the skills of translating texts from Armenian to Turkish and from Turkish to Armenian."
26,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,1311,Փիլիսոփայություն,,3.0,General,5.0,"· տալ ելակետային գիտելիքներ մարդ-աշխարհ փոխհարաբերությունների փիլիսոփայական ըմբռնման և փիլիսոփայական մտածողության առանձնահատկությունների մասին, · ծանոթացնել փիլիսոփայական հիմնական հայեցակարգերի գիտական ու աշխարհայացքային հիմնախնդիրներին, · սովորեցնել գրագետ ձևակերպել և ներկայացնել սեփական աշխարհայացքի սկզբունքները և արժեքային կողմնորոշիչները։",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,Philosophy,"- Provide foundational knowledge about the philosophical understanding of human-world relationships and the characteristics of philosophical thinking,  
- Introduce the scientific and worldview issues of fundamental philosophical concepts,  
- Teach how to articulate and present one's own worldview principles and value orientations effectively."
27,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,708,Էկոլոգիայի և բնապահպանության հիմունքներ,,2.0,General,4.0,"· ուսանողների մոտ ձևավորել աշխարհայացք և գիտելիք էկոլոգիայի` որպես գիտության, բնապահպանության, բնական համակարգերի գործունեության հիմունքների, համաշխարհային և Հայաստանի բնապահպանական խնդիրների մասին, · ձևավորել հիմնարար գիտելիքներ բնություն-հասարակություն համակարգում էկոլոգիայի հիմնախնդիրների, բնության հետ հասարակության համահունչ զարգացման մասին:",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,Fundamentals of Ecology and Environmental Protection,"- To develop students' worldview and knowledge of ecology as a science, the principles of environmental protection, the functioning of natural systems, and global and environmental issues in Armenia. 
- To establish fundamental knowledge of ecological issues in the nature-society system and the harmonious development of society with nature."
28,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,1705,Ռուսաց լեզու-2,,2.0,General,3.0,"· լեզվական և խոսքային կոմպետենցիաների մակարդակի բարձրացում՝ արդյունավետ հաղորդակցման համար, · ուսանողների մոտ լեզվական փաստերը գնահատելու, վերլուծելու և լեզվական միջոցները ընտրելու կարողության ձևավորում՝ ըստ հաղորդակցման բովանդակության, ոլորտի և պայմանների, · տարբեր խոսքային իրավիճակներում լեզվի միջոցները օպտիմալ օգտագործելու կարողության ձևավորում, · խոսքի ընդհանուր մշակույթի զարգացում:",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,Russian Language-2,"- Enhancement of linguistic and communicative competencies for effective communication,  
- Development of students' ability to assess, analyze linguistic facts, and select linguistic resources according to the content, field, and conditions of communication,  
- Formation of the ability to optimally use language resources in various speech situations,  
- Development of overall speech culture."
29,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,1106,Հայոց պատմություն 2,,2.0,General,4.0,"Դասընթացի նպատակը հայոց նոր ու նորագույն դարերի պատմության առանցքային հարցերի վերաբերյալ ուսանողներին հիմնարար գիտելիքներ տրամադրելը և բազմակողմանիորեն զարգացած, կենսունակ ազգային գիտակցություն ունեցող քաղաքացիների դաստիարակմանը նպաստելն է:",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,Armenian History 2,"The aim of the course is to provide students with fundamental knowledge regarding key issues in the history of Armenia's modern and contemporary periods and to contribute to the education of citizens with a well-rounded, vibrant national consciousness."
30,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,1106,Հայոց պատմություն 1,,2.0,General,3.0,"Դասընթացի նպատակը հայոց հին ու միջին դարերի պատմության առանցքային հարցերի վերաբերյալ ուսանողներին հիմնարար գիտելիքներ տրամադրելը և բազմակողմանիորեն զարգացած, կենսունակ ազգային գիտակցություն ունեցող քաղաքացիների դաստիարակմանը նպաստելն է:",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,Armenian History 1,"The aim of the course is to provide students with fundamental knowledge on key issues of the history of ancient and medieval Armenia and to contribute to the education of citizens with a well-rounded, vibrant national consciousness."
31,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,2,Քաղաքացիական պաշտպանություն և արտակարգ իրավիճակներում բնակչության առաջին բուժօգնություն,,2.0,General,1.0,"ուսանողների մոտ ձևավորել ընդհանուր պատկերացում արտակարգ իրավիճակների մասին, արտակարգ իրավիճակներում գործելու հմտություններ, փրկարարական աշխատանքների կազմակերպման վերաբերյալ հմտություններ և տարաբնույթ պատահարների ժամանակ հնարավոր վնասվածքների և այլ ախտահարումների դեպքում առաջին բուժօգնության ցուցաբերման անհրաժեշտ կարողություններ:",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,Civil Protection and First Aid for the Population in Emergency Situations,"To develop a general understanding of emergencies among students, skills for acting in emergency situations, skills for organizing rescue operations, and the necessary abilities to provide first aid in the event of possible injuries and other afflictions during various incidents."
32,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,1608,Ֆրանսերեն-2,,2.0,General,2.0,"• ամբողջացնել նախորդ մոդուլի օգնությամբ ձեռքբերած գիտելիքները, • ծանոթացնել օտար լեզվի իմացության ստուգման և գնահատման պահանջներին, • ներկայացնել լեզվի իմացության համաեվրոպական չափանիշները և ծանոթացնել թեստավորման հիմանական սկզբունքներին, • ներկայացնել լեզվի թեստավորման հիմնական ռազմավարությունը և մարտավարությունը:",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,French-2,"• complete the knowledge acquired with the help of the previous module, • familiarize with the requirements for testing and assessing foreign language proficiency, • present the Common European Framework of Reference for Languages and introduce the basic principles of testing, • present the main strategies and tactics of language testing."
33,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,1205,Չինարեն-2,,2.0,General,2.0,"· ուսանողներին ծանոթացնել չինարենի լեզվական, հանրալեզվաբանական, գործաբանական իրազեկության բաղադրիչներին, · ուսանողներին ներկայացնել ժամանակակից չինարենի հնչյունաբանական, ձևաբանական, շարահյուսական և տիպաբանական առանձնահատկությունները, · ուսանողների մոտ ձևավորել սկզբնական գիտելիքներ չինարենով ակտիվ հաղորդակցման և հետագա լեզվական հմտությունների զարգացման համար, · ուսանողների մոտ դասընթացի շրջանակներում ստեղծել նախնական պատկերացումներ այդ երկրի մշակույթի և քաղաքակրթության մասին:",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,Chinese-2,"- Introduce students to the components of linguistic, general linguistic, and functional awareness of the Chinese language, 
- Present to students the phonological, morphological, syntactic, and typological characteristics of modern Chinese, 
- Develop initial knowledge among students for active communication in Chinese and the further development of language skills, 
- Create preliminary understandings among students about the culture and civilization of that country within the framework of the course."
34,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,1401,Հայոց լեզու և խոսքի մշակույթ-1,,2.0,General,1.0,"· ներկայացնել լեզվի առանձին բաժինների առանձնահատկությունները, · ծանոթացնել լեզվական նորմի չափանիշներին, · նկարագրել լեզվական մակարդակներում տեղի ունեցող տեղաշարժերն ու փոփոխությունները։",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,Armenian Language and Speech Culture-1,"- present the characteristics of individual sections of the language, 
- familiarize with the criteria of linguistic norms, 
- describe the shifts and changes occurring at linguistic levels."
35,Yerevan State University,Informatics and Applied Mathematics,061101.02.6,Bachelor,1604,Գերմաներեն-2,,2.0,General,2.0,"· հարստացնել ուսանողների բառապաշարը, · խորացնել և հնարավորինս կատարելագործել լսելու, հասկանալու, գրելու հմտությունները, · ձևավորել գերմաներենով հաղորդակցվելու կարողությունները և ունակությունները:",,Attestation,2025/2026,https://www.ysu.am/en/faculty/85/educational-program-305/edu-plan,Armenian,,German-2,"- Enrich students' vocabulary, 
- deepen and enhance listening, comprehension, and writing skills as much as possible, 
- develop the abilities and competencies to communicate in German."
